N0,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,M0P0,M0P1,class
0,1,0,1,1,2,0,1,0,0,0,1,2,1,2,2,1,0,0,2,1.1530579075
0,2,2,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,0,0,1.3577478102
0,2,2,1,2,1,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0.8081868086
1,1,0,0,0,1,1,0,1,1,1,0,1,0,0,1,1,1,0,0,0.8353526852
0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.2758354284
2,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0.1074002829
1,2,2,1,2,1,0,1,1,1,1,0,0,1,1,1,0,1,0,0,0.7653551331
1,0,0,2,2,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1.2680436752
1,1,0,1,2,1,0,0,0,0,0,1,2,0,0,1,1,0,0,0,0.8279025255
1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0.5823818416
1,1,0,2,0,0,0,0,1,1,1,0,2,1,0,0,0,0,0,0,-0.2778195598
1,1,1,2,0,1,0,1,0,0,1,0,1,0,0,1,1,2,0,2,-0.6166994416
1,2,1,0,1,1,0,1,0,1,1,1,2,1,0,0,0,0,0,0,0.9242526213
0,2,0,2,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,-0.0132552881
0,1,0,1,1,1,1,2,0,0,0,0,1,0,0,0,1,1,0,0,0.664042047
0,1,1,2,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0.9726936979
1,1,0,0,0,1,0,0,2,1,0,0,0,2,0,0,0,0,1,0,0.1460966221
1,1,1,1,0,1,0,0,0,0,0,0,2,1,0,1,2,0,0,1,2.0089264652
0,1,0,0,1,1,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0.9333950231
2,0,0,1,0,1,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0.7697176438
0,0,2,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,-0.0421148509
1,2,1,1,1,0,0,0,0,0,2,0,2,0,0,2,2,1,1,1,1.1963091536
1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,-0.1333404151
0,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,-0.0451829923
0,0,1,0,0,2,0,2,0,2,1,0,0,0,0,1,0,0,1,0,-0.6707343693
1,2,1,0,1,1,0,2,1,0,1,1,0,0,0,1,0,0,1,0,0.2057254896
0,2,1,0,0,1,0,2,1,1,0,1,2,2,1,1,1,1,0,0,0.5542537182
