N0,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,M0P0,M0P1,class
0,0,0,0,40.2703262977877,0.4039307838084094,41.56408179546723,2,37.93528364218338,0,92.61475802745386,2,65.24573290241844,2,1,25.715406664721517,1,0,92.83212305088718,56.18272596929293,1
1,0,0,0,23.803000300742617,81.96834744753734,80.37480592547445,1,5.7283321209598,0,18.76856554563035,1,30.54743423765382,1,1,22.89048837902813,0,1,72.5565682762849,63.96930343044633,1
0,0,0,1,46.01848150340828,31.025788065754263,7.912648666544081,2,35.49652092122561,0,30.040668019641032,1,10.325025542829646,1,1,30.55588970578197,0,0,17.307370464965143,43.37444140420493,1
0,0,0,1,146.53085315115243,4.704548246614854,64.33363429759241,0,37.35699810772056,0,55.43692236500092,1,80.31753258179333,1,1,77.49631770551298,1,1,52.902681112863554,73.83007554351794,1
0,1,0,1,45.09160305441062,5.889670319264878,45.41283551959889,0,34.89244614185614,0,26.65119531707049,0,76.01925800951116,1,1,16.54458195035094,1,0,36.99081305929518,43.7795280473428,1
1,0,0,1,147.02437008216265,22.59721176478872,64.09733614277457,0,4.269242908717402,0,77.55229082342773,1,56.43693146824869,1,1,26.22336285637687,2,0,27.67204124096075,12.201419271889907,1
0,1,1,0,38.87625040722403,26.28737699873474,4.951881906969274,1,4.940801899088154,0,14.580037668069185,0,2.7215427272684445,0,2,47.482168108852775,0,0,49.39464994775173,0.073241978066707,1
0,1,0,0,61.82340589001719,89.6619707040486,6.251505747440178,1,0.9413784816680648,1,58.62747743686148,1,92.92881388804756,2,1,56.82959945813435,2,0,61.93359336770421,95.77070074626263,1
0,1,0,0,99.06467502628112,2.2907986789362846,86.27028543036033,0,40.60144705854327,0,74.55066621454044,1,137.83313318292048,0,0,82.51674018666246,1,0,55.59129875089226,88.99316323132642,1
1,0,0,1,64.94781638129632,42.99308323408289,40.53316230665071,1,6.919561498957605,1,69.75577069023542,0,40.79382367181046,2,2,45.13930021148515,0,0,19.20517927081393,46.083331244747846,1
1,1,0,0,135.5914877156544,79.93825812585594,37.6219304363952,0,4.785730507283558,1,65.21163345462952,0,119.146518879033,1,1,23.47405945727227,0,0,39.07881013979727,7.010159405405425,1
0,1,1,1,93.3946541278166,26.620114982896816,46.02947291402768,1,38.857796810662265,1,76.68789263669368,0,12.84020282339984,0,0,30.110650674170746,0,0,78.67336485958731,52.18329389395828,1
0,0,0,1,87.36038666422081,35.098692915236384,35.58614716743227,0,18.049504584485216,1,61.956034340329616,1,68.02885133011236,2,1,23.124808848430355,1,0,69.25483933354126,64.02099599584484,1
0,1,0,1,97.01896241728478,20.68026793374261,8.164656616452671,1,32.741327170385205,0,101.37891093442992,1,31.917668257368128,1,1,16.870767548091532,1,1,91.03556576676031,58.02614709109552,1
0,0,0,2,35.249908187627256,31.51126833753606,33.16420361848287,1,46.81752990709163,1,2.8174047082505203,2,57.87794829211988,0,0,21.912389939129973,1,1,31.601663689605164,21.78025349104332,1
0,0,1,1,14.12721047502184,20.62526156448297,17.433232906441702,1,10.730792444147152,1,15.54836157473934,1,1.8030094735862867,1,1,27.370083296197567,0,0,50.68991967661052,96.14149377905986,1
1,1,0,2,7.94483936736321,46.48018565796208,7.249645956538991,1,19.9133611646963,1,57.8673150669848,1,18.55688400919691,2,0,4.11939446407183,1,0,56.36612140549394,68.44313535440818,1
0,0,0,1,37.38158517725337,32.680484533279284,26.964799589631223,0,9.331650377572082,0,136.2094160629751,1,34.688727482119106,1,1,82.42956107804073,1,1,6.666173823750593,30.806015318720043,1
0,0,1,1,51.293608219076106,44.28950515220557,11.470274437013083,0,21.13996725308752,1,137.60187847670386,0,85.04747490952313,1,1,19.2956507144778,1,0,12.38615686286344,10.833069554052477,1
0,1,0,0,85.24309436199894,10.767750161233442,80.91482189740604,1,12.502528873630297,1,43.71621171026744,1,125.51393103850542,0,1,48.436191544552585,0,1,12.072363046336848,45.07218228513643,1
0,1,1,2,76.67614023615815,30.48837176317896,9.805986065417745,1,12.207862030689745,0,32.39102830466267,0,50.70528212836544,1,0,42.7642693498648,0,0,66.67779965550857,54.2964616755271,1
